Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Career1,Career2,Career3
D,C,C,A,A,A,B,B,B,C,A,B,Data Scientist,Product Manager,Entrepreneur
B,D,A,D,B,B,C,B,C,D,B,B,AI Engineer,Software Developer,UX Designer
B,D,C,A,C,B,C,C,C,D,C,D,Software Developer,AI Engineer,Data Scientist
B,D,D,A,D,C,A,D,A,B,C,A,Software Developer,UX Designer,Data Scientist
A,B,B,D,B,D,D,C,A,C,D,B,Backend Developer,Cloud Engineer,Software Developer
D,B,A,D,B,C,C,C,C,A,A,D,Software Developer,Entrepreneur,UI/UX Designer
A,D,B,D,D,A,B,B,D,C,A,B,Backend Developer,Cybersecurity,UX Designer
A,D,A,A,D,D,A,C,A,B,C,D,Cybersecurity,Backend Developer,UX Designer
A,B,C,C,B,A,D,B,B,B,C,D,Cloud Engineer,Software Developer,Cybersecurity
C,A,D,A,C,A,D,A,B,D,D,B,Researcher,Data Scientist,AI Engineer
A,C,A,C,D,D,B,D,D,A,D,C,Data Scientist,Cybersecurity,Backend Developer
D,C,A,D,D,B,D,A,D,D,A,A,Product Manager,Entrepreneur,UI/UX Designer
D,D,C,B,A,A,A,B,A,C,D,B,Product Manager,UX Designer,Entrepreneur
D,C,D,D,D,A,A,D,A,A,D,C,UI/UX Designer,Entrepreneur,Data Scientist
D,D,C,B,A,B,B,B,A,C,C,B,UX Designer,UI/UX Designer,Entrepreneur
B,C,A,D,C,A,A,C,B,A,C,C,Software Developer,Data Scientist,AI Engineer
B,B,B,C,A,C,C,C,D,A,D,D,Data Scientist,Software Developer,AI Engineer
D,B,D,B,C,C,D,A,B,D,D,B,Product Manager,Software Developer,Entrepreneur
D,A,B,C,C,A,B,D,A,C,B,B,Product Manager,UI/UX Designer,Entrepreneur
A,D,A,C,A,A,C,B,C,B,D,A,Cloud Engineer,Backend Developer,UX Designer
B,C,A,A,D,A,C,C,B,D,B,D,Software Developer,Data Scientist,AI Engineer
A,D,B,B,B,D,B,B,C,D,C,A,UX Designer,Backend Developer,Cybersecurity
A,C,C,D,B,D,C,C,D,C,D,A,Data Scientist,Cybersecurity,Backend Developer
C,A,B,A,C,D,B,B,D,C,A,D,Researcher,AI Engineer,Data Scientist
B,C,B,C,B,A,C,A,D,B,D,C,Data Scientist,Software Developer,AI Engineer
D,B,B,A,C,A,D,A,A,D,B,A,Product Manager,Entrepreneur,Software Developer
C,C,B,A,B,D,D,D,A,C,D,B,AI Engineer,Data Scientist,Researcher
C,A,A,C,C,C,C,B,B,D,A,D,Researcher,Data Scientist,AI Engineer
B,C,B,B,B,A,C,D,A,D,D,B,AI Engineer,Data Scientist,Software Developer
B,A,D,B,A,C,D,D,C,D,C,B,AI Engineer,Data Scientist,Software Developer
B,D,C,D,B,A,A,D,C,B,A,D,Software Developer,AI Engineer,UX Designer
A,A,C,D,B,C,A,A,C,A,A,A,Backend Developer,Cloud Engineer,Cybersecurity
A,A,A,D,D,B,B,B,B,B,D,C,Cybersecurity,Backend Developer,Cloud Engineer
B,A,A,A,A,B,A,B,B,B,D,B,Software Developer,Data Scientist,AI Engineer
A,C,A,D,A,C,D,A,D,B,C,B,Cloud Engineer,Cybersecurity,Backend Developer
D,A,D,A,C,C,D,C,C,C,C,C,Product Manager,UI/UX Designer,Entrepreneur
C,D,D,B,B,A,A,A,B,A,B,B,Researcher,AI Engineer,Data Scientist
C,C,A,B,C,A,A,C,A,A,B,B,AI Engineer,Data Scientist,Researcher
A,A,C,D,C,A,D,B,B,D,D,D,Cloud Engineer,Backend Developer,Cybersecurity
B,B,B,C,D,B,C,D,B,C,A,B,AI Engineer,Software Developer,Data Scientist
D,D,B,A,C,C,B,A,A,C,B,C,UX Designer,Product Manager,UI/UX Designer
A,C,C,B,A,D,C,A,C,C,C,B,Cloud Engineer,Data Scientist,Backend Developer
A,C,D,D,B,C,A,C,C,B,A,B,Data Scientist,Cloud Engineer,Cybersecurity
D,A,D,D,D,B,B,C,A,D,B,C,Product Manager,Entrepreneur,UI/UX Designer
B,A,D,D,C,C,B,D,A,B,D,C,Software Developer,AI Engineer,Data Scientist
D,A,A,A,C,C,D,D,A,B,D,C,Entrepreneur,Product Manager,UI/UX Designer
B,A,C,A,D,B,B,A,B,D,B,C,AI Engineer,Software Developer,Data Scientist
C,B,B,C,B,D,B,D,A,A,C,B,Researcher,AI Engineer,Software Developer
B,B,C,A,A,A,D,A,C,A,C,A,AI Engineer,Data Scientist,Software Developer
D,A,A,B,A,C,C,A,A,D,D,B,UI/UX Designer,Product Manager,Entrepreneur
A,B,A,B,C,B,D,C,B,D,B,D,Backend Developer,Cloud Engineer,Software Developer
C,C,C,A,D,C,B,B,D,A,C,C,Researcher,Data Scientist,AI Engineer
B,B,A,A,C,D,A,A,A,C,C,A,Software Developer,AI Engineer,Data Scientist
C,B,D,D,C,D,B,C,D,C,A,B,Software Developer,Researcher,Data Scientist
B,B,A,B,D,B,A,D,C,A,D,D,AI Engineer,Software Developer,Data Scientist
D,C,D,D,D,B,C,C,A,D,A,C,Product Manager,Data Scientist,Entrepreneur
A,C,D,B,C,A,C,B,A,B,C,A,Cloud Engineer,Data Scientist,Backend Developer
A,A,A,C,A,A,B,D,C,D,B,A,Backend Developer,Cybersecurity,Cloud Engineer
B,B,D,B,A,D,D,C,D,C,B,B,Data Scientist,AI Engineer,Software Developer
B,B,C,C,A,A,C,C,D,B,D,C,Data Scientist,Software Developer,AI Engineer
C,B,A,D,B,D,A,A,A,A,A,D,Software Developer,Data Scientist,AI Engineer
D,A,C,D,D,D,A,D,A,A,B,D,Entrepreneur,UI/UX Designer,Product Manager
A,B,A,A,C,D,A,B,D,A,A,A,Backend Developer,Cloud Engineer,Cybersecurity
D,A,B,B,A,D,C,A,B,A,D,A,Product Manager,Entrepreneur,UI/UX Designer
C,A,A,B,C,D,D,C,A,B,D,D,Researcher,Data Scientist,AI Engineer
B,D,B,B,B,B,C,B,D,D,C,D,Data Scientist,Software Developer,AI Engineer
D,A,C,A,B,D,C,B,D,D,C,A,UI/UX Designer,Product Manager,Entrepreneur
C,D,C,A,B,C,B,A,A,D,B,A,AI Engineer,Researcher,UX Designer
A,D,C,A,A,A,A,B,A,C,A,B,UX Designer,Cloud Engineer,Backend Developer
D,B,C,C,B,B,A,D,B,B,A,D,UI/UX Designer,Entrepreneur,Product Manager
D,C,D,D,D,B,A,A,B,B,C,C,Entrepreneur,Product Manager,UI/UX Designer
B,B,D,D,C,A,A,A,D,D,C,A,Data Scientist,AI Engineer,Software Developer
A,C,A,C,D,B,D,B,A,C,C,B,Backend Developer,Cloud Engineer,Data Scientist
D,D,C,A,B,C,B,D,A,C,A,B,Entrepreneur,UX Designer,Product Manager
C,A,A,C,A,D,B,C,B,C,D,B,Researcher,Data Scientist,AI Engineer
D,B,C,B,C,B,B,D,D,A,D,D,Software Developer,Entrepreneur,Product Manager
C,A,A,B,A,D,B,C,D,C,D,A,Researcher,Data Scientist,AI Engineer
D,C,C,A,C,B,A,D,C,B,B,A,Entrepreneur,UI/UX Designer,Product Manager
B,B,B,A,A,D,D,D,A,A,A,C,Software Developer,Data Scientist,AI Engineer
B,A,A,B,B,A,A,B,D,C,A,B,AI Engineer,Software Developer,Data Scientist
C,C,B,D,A,C,C,A,A,A,A,D,AI Engineer,Researcher,Data Scientist
B,B,C,B,C,B,D,C,D,A,B,B,Data Scientist,Software Developer,AI Engineer
A,C,C,C,B,C,C,C,B,D,A,A,Backend Developer,Data Scientist,Cloud Engineer
D,D,B,A,D,A,A,C,C,A,D,D,Product Manager,UX Designer,UI/UX Designer
D,D,B,B,A,B,D,D,A,B,B,B,UI/UX Designer,UX Designer,Product Manager
C,C,D,C,B,B,D,C,B,A,C,A,AI Engineer,Researcher,Data Scientist
D,A,D,D,D,D,B,A,D,B,A,B,Entrepreneur,Product Manager,UI/UX Designer
D,C,A,A,D,A,D,C,B,B,A,D,Product Manager,Data Scientist,UI/UX Designer
B,C,D,B,D,B,A,A,C,A,B,B,Data Scientist,Software Developer,AI Engineer
B,B,C,A,A,D,B,C,B,B,C,D,AI Engineer,Software Developer,Data Scientist
B,B,A,D,C,A,B,B,A,C,D,D,AI Engineer,Data Scientist,Software Developer
A,C,B,D,B,B,B,B,C,A,C,D,Data Scientist,Cloud Engineer,Cybersecurity
A,B,A,A,B,A,C,D,A,D,D,C,Backend Developer,Software Developer,Cybersecurity
D,A,C,A,B,D,A,D,D,B,D,C,UI/UX Designer,Product Manager,Entrepreneur
D,A,C,B,C,A,A,D,C,A,B,B,Entrepreneur,UI/UX Designer,Product Manager
A,A,A,B,A,A,D,C,D,B,C,B,Backend Developer,Cloud Engineer,Cybersecurity
B,C,A,B,D,C,C,B,D,A,C,D,AI Engineer,Software Developer,Data Scientist
A,A,C,A,A,D,B,D,D,A,C,C,Cybersecurity,Backend Developer,Cloud Engineer
C,D,C,B,D,D,C,B,A,A,A,C,Researcher,Data Scientist,AI Engineer
A,B,C,A,D,B,B,A,D,B,B,D,Cybersecurity,Cloud Engineer,Backend Developer
D,A,B,D,C,A,B,A,C,B,B,A,Entrepreneur,Product Manager,UI/UX Designer
A,D,A,A,B,A,C,C,D,B,D,B,UX Designer,Cloud Engineer,Cybersecurity
A,C,D,B,B,D,C,C,B,B,B,D,Cybersecurity,Backend Developer,Data Scientist
C,A,D,B,A,C,C,A,A,D,C,B,AI Engineer,Data Scientist,Researcher
C,A,C,B,C,B,B,D,A,D,B,A,Researcher,Data Scientist,AI Engineer
C,D,B,D,A,B,B,B,A,C,A,D,Data Scientist,Researcher,AI Engineer
B,D,D,B,C,B,A,B,A,C,C,B,Software Developer,AI Engineer,UX Designer
C,C,A,B,B,B,D,B,C,C,C,A,AI Engineer,Data Scientist,Researcher
C,A,B,D,D,D,D,D,C,C,A,B,Researcher,Data Scientist,AI Engineer
A,A,B,D,C,C,C,C,C,B,D,C,Cybersecurity,Backend Developer,Cloud Engineer
B,A,D,B,C,A,A,C,A,A,C,A,AI Engineer,Data Scientist,Software Developer
B,C,C,A,C,C,A,B,A,D,A,B,Software Developer,Data Scientist,AI Engineer
A,D,D,A,B,D,C,C,B,D,C,B,UX Designer,Cybersecurity,Backend Developer
C,C,C,D,B,C,B,C,B,D,A,C,AI Engineer,Data Scientist,Researcher
D,C,C,C,B,C,B,C,B,D,B,D,Entrepreneur,UI/UX Designer,Product Manager
B,D,D,D,B,B,B,C,A,B,D,C,Data Scientist,UX Designer,AI Engineer
A,A,D,C,A,A,D,D,B,D,C,B,Cloud Engineer,Backend Developer,Cybersecurity
C,B,A,C,C,A,A,D,A,C,C,C,Data Scientist,AI Engineer,Researcher
B,B,D,D,D,B,D,C,C,A,A,D,Data Scientist,Software Developer,AI Engineer
D,D,D,D,D,C,D,A,D,D,C,B,UX Designer,UI/UX Designer,Product Manager
C,C,C,A,B,B,C,C,A,C,C,D,AI Engineer,Researcher,Data Scientist
B,A,C,A,B,C,D,A,C,A,B,C,Software Developer,AI Engineer,Data Scientist
C,B,D,A,A,B,D,C,B,D,B,C,AI Engineer,Data Scientist,Researcher
D,D,A,B,D,C,D,A,C,D,D,A,Product Manager,UX Designer,UI/UX Designer
D,B,D,A,A,D,B,B,D,A,B,C,Software Developer,Product Manager,Entrepreneur
B,B,A,C,B,B,A,B,A,B,B,B,Software Developer,AI Engineer,Data Scientist
B,D,A,A,A,B,B,D,C,A,A,C,UX Designer,AI Engineer,Data Scientist
C,C,A,D,B,C,B,D,B,C,B,C,AI Engineer,Data Scientist,Researcher
C,B,B,B,C,C,A,A,A,A,A,C,AI Engineer,Software Developer,Researcher
D,C,D,D,D,B,D,D,D,B,B,B,Entrepreneur,Product Manager,Data Scientist
A,B,D,D,A,B,C,C,A,C,C,A,Backend Developer,Cloud Engineer,Cybersecurity
D,A,B,D,C,A,C,A,C,B,A,C,Entrepreneur,UI/UX Designer,Product Manager
C,D,C,D,D,D,A,C,D,A,B,D,Researcher,UX Designer,AI Engineer
D,A,A,C,C,A,B,D,A,D,D,C,UI/UX Designer,Product Manager,Entrepreneur
C,A,D,D,C,B,B,C,C,D,C,D,Data Scientist,AI Engineer,Researcher
B,B,B,B,B,B,A,C,B,B,A,B,Software Developer,Data Scientist,AI Engineer
B,D,A,C,D,B,A,B,C,C,D,C,Data Scientist,AI Engineer,Software Developer
A,D,A,C,B,B,D,B,D,A,A,D,Cloud Engineer,UX Designer,Cybersecurity
A,C,A,C,D,D,B,D,C,D,C,D,Cybersecurity,Cloud Engineer,Data Scientist
B,B,D,A,A,D,A,D,C,C,B,A,Software Developer,AI Engineer,Data Scientist
D,B,C,B,B,A,B,C,A,C,D,C,Product Manager,UI/UX Designer,Entrepreneur
A,C,C,D,D,A,C,C,C,C,D,D,Backend Developer,Cloud Engineer,Data Scientist
D,D,D,C,D,D,C,C,B,A,D,C,UX Designer,Product Manager,UI/UX Designer
B,C,B,A,C,D,D,B,A,A,A,A,Data Scientist,Software Developer,AI Engineer
C,D,A,B,D,D,C,B,C,B,D,C,Researcher,Data Scientist,AI Engineer
C,D,C,C,D,C,A,D,C,A,D,B,AI Engineer,UX Designer,Data Scientist
C,A,C,B,D,C,D,C,B,D,D,B,Researcher,Data Scientist,AI Engineer
C,A,C,C,A,C,C,C,B,A,D,D,Researcher,AI Engineer,Data Scientist
B,B,D,C,C,C,A,A,D,A,C,A,AI Engineer,Data Scientist,Software Developer
A,A,A,B,D,B,B,C,B,C,A,A,Backend Developer,Cybersecurity,Cloud Engineer
C,B,A,D,C,C,D,B,D,B,B,A,AI Engineer,Researcher,Software Developer
B,B,B,A,A,A,C,D,D,D,C,A,AI Engineer,Data Scientist,Software Developer
B,C,B,B,C,A,C,A,B,A,D,C,Data Scientist,AI Engineer,Software Developer
C,B,D,C,C,B,D,A,A,A,A,D,AI Engineer,Data Scientist,Software Developer
A,D,A,A,D,C,B,D,C,C,B,B,UX Designer,Backend Developer,Cybersecurity
A,C,B,A,C,A,B,C,B,A,A,B,Cybersecurity,Backend Developer,Data Scientist
C,C,A,C,B,C,A,C,C,C,B,A,AI Engineer,Data Scientist,Researcher
A,C,B,C,B,B,A,B,A,C,D,C,Backend Developer,Cloud Engineer,Data Scientist
C,D,A,D,B,D,B,B,D,D,D,D,UX Designer,AI Engineer,Data Scientist
D,B,A,B,B,C,A,B,C,A,D,A,Software Developer,Product Manager,UI/UX Designer
B,A,B,D,D,A,D,C,A,A,D,A,Data Scientist,Software Developer,AI Engineer
B,D,A,C,B,B,A,D,B,A,B,C,AI Engineer,Software Developer,Data Scientist
D,B,A,D,C,D,B,C,B,C,D,B,Software Developer,Product Manager,Entrepreneur
B,B,D,B,B,B,A,C,A,A,C,B,AI Engineer,Data Scientist,Software Developer
C,C,D,B,D,B,B,B,A,D,B,D,Data Scientist,AI Engineer,Researcher
A,C,B,A,C,A,D,D,C,D,C,A,Cloud Engineer,Cybersecurity,Backend Developer
C,A,D,C,A,C,A,A,A,D,D,C,AI Engineer,Data Scientist,Researcher
C,A,B,D,B,B,C,C,B,A,C,A,AI Engineer,Data Scientist,Researcher
A,A,C,B,B,B,C,C,D,B,A,D,Cybersecurity,Cloud Engineer,Backend Developer
B,A,B,A,B,A,A,D,C,C,D,C,Data Scientist,AI Engineer,Software Developer
B,B,C,A,B,B,A,D,C,D,B,A,Data Scientist,Software Developer,AI Engineer
A,A,D,A,D,A,B,A,A,B,D,D,Backend Developer,Cloud Engineer,Cybersecurity
A,D,A,B,B,B,D,A,C,C,A,C,UX Designer,Backend Developer,Cloud Engineer
C,A,A,B,B,C,A,D,C,C,B,D,Researcher,AI Engineer,Data Scientist
C,C,D,D,D,D,C,A,C,B,C,C,AI Engineer,Data Scientist,Researcher
B,C,A,B,C,D,B,D,A,C,C,D,Software Developer,AI Engineer,Data Scientist
A,A,C,C,C,A,D,C,A,A,C,C,Cloud Engineer,Cybersecurity,Backend Developer
D,B,A,D,C,C,B,C,B,C,A,A,Entrepreneur,UI/UX Designer,Product Manager
B,D,B,C,D,C,C,A,D,B,C,A,Data Scientist,UX Designer,AI Engineer
C,B,D,D,B,B,A,C,C,B,A,B,AI Engineer,Researcher,Data Scientist
D,A,A,C,A,B,A,B,A,B,A,A,UI/UX Designer,Entrepreneur,Product Manager
B,A,B,A,B,D,B,D,B,B,C,A,Software Developer,Data Scientist,AI Engineer
B,D,D,A,C,D,D,B,B,A,C,B,Software Developer,UX Designer,AI Engineer
C,D,B,C,A,B,D,D,C,D,D,B,UX Designer,Data Scientist,AI Engineer
C,B,D,C,A,D,A,D,D,C,C,B,Researcher,Software Developer,Data Scientist
C,B,C,C,C,B,B,B,A,B,B,C,Researcher,Software Developer,AI Engineer
B,D,B,C,B,C,B,A,D,B,D,D,Data Scientist,AI Engineer,Software Developer
D,C,C,C,C,A,D,B,D,B,D,B,Data Scientist,Entrepreneur,Product Manager
D,D,C,C,C,B,C,A,D,B,D,A,Entrepreneur,UI/UX Designer,Product Manager
B,B,B,D,A,D,A,A,A,C,A,C,Data Scientist,Software Developer,AI Engineer
D,D,B,C,C,C,D,B,C,A,C,B,UI/UX Designer,UX Designer,Product Manager
C,A,D,A,B,C,B,A,C,A,A,B,Data Scientist,AI Engineer,Researcher
D,D,D,D,C,B,D,C,D,A,D,A,UI/UX Designer,Entrepreneur,Product Manager
D,D,B,C,A,D,B,D,B,B,A,D,UI/UX Designer,UX Designer,Product Manager
C,A,C,C,A,D,A,B,A,B,D,C,AI Engineer,Data Scientist,Researcher
A,D,C,A,D,B,A,A,C,B,D,C,Backend Developer,UX Designer,Cybersecurity
C,B,A,D,C,C,C,B,A,B,A,D,AI Engineer,Data Scientist,Researcher
B,D,B,C,D,C,D,C,D,D,D,C,UX Designer,AI Engineer,Software Developer
B,C,D,B,B,B,D,B,D,A,D,A,Data Scientist,AI Engineer,Software Developer
B,B,B,C,B,C,A,A,D,D,B,D,Data Scientist,AI Engineer,Software Developer
B,C,C,A,C,C,C,C,A,B,B,C,AI Engineer,Software Developer,Data Scientist
C,B,A,C,C,A,B,B,C,B,B,C,Researcher,Data Scientist,AI Engineer
C,D,A,B,B,C,B,D,C,C,C,D,AI Engineer,Researcher,Data Scientist
D,C,B,A,C,C,D,B,A,B,B,D,Data Scientist,UI/UX Designer,Product Manager
D,B,B,B,D,C,A,D,A,B,B,C,Product Manager,Entrepreneur,Software Developer
C,B,C,C,A,C,B,A,D,C,A,C,Data Scientist,Researcher,AI Engineer
C,D,D,A,C,C,B,D,B,A,A,A,Researcher,Data Scientist,AI Engineer
A,C,C,C,A,C,B,B,B,A,D,A,Data Scientist,Cybersecurity,Cloud Engineer
A,A,C,D,D,B,B,B,B,B,D,C,Cloud Engineer,Backend Developer,Cybersecurity
A,C,A,C,B,A,C,A,C,B,C,A,Cloud Engineer,Cybersecurity,Backend Developer
B,B,B,A,C,A,D,B,C,A,A,D,Data Scientist,AI Engineer,Software Developer
A,D,B,C,B,A,B,C,D,C,D,B,Cybersecurity,Cloud Engineer,Backend Developer
A,B,D,A,A,C,B,A,B,D,D,B,Cloud Engineer,Software Developer,Cybersecurity
D,B,D,D,A,B,D,D,C,C,C,B,Software Developer,UI/UX Designer,Product Manager
D,D,A,D,C,A,D,D,C,C,D,B,UX Designer,Entrepreneur,UI/UX Designer
A,D,C,A,A,B,D,C,C,A,C,C,Backend Developer,Cybersecurity,Cloud Engineer
C,B,A,B,C,C,B,B,C,B,C,A,AI Engineer,Software Developer,Data Scientist
C,C,A,D,D,C,C,C,D,A,D,A,AI Engineer,Researcher,Data Scientist
D,C,C,D,D,C,D,A,C,A,B,A,UI/UX Designer,Entrepreneur,Product Manager
D,A,B,D,D,B,A,D,D,D,A,D,Entrepreneur,Product Manager,UI/UX Designer
D,D,B,C,B,B,B,D,B,D,C,C,UI/UX Designer,Entrepreneur,UX Designer
C,B,A,D,A,A,D,D,B,B,B,B,AI Engineer,Software Developer,Researcher
A,D,B,D,D,C,A,A,C,D,C,D,UX Designer,Cybersecurity,Cloud Engineer
A,C,C,D,C,C,B,B,D,A,C,A,Cybersecurity,Backend Developer,Cloud Engineer
A,A,D,A,C,D,B,A,B,D,A,B,Backend Developer,Cloud Engineer,Cybersecurity
D,A,B,C,D,D,A,D,C,B,D,D,UI/UX Designer,Entrepreneur,Product Manager
B,C,B,D,B,C,D,A,D,B,D,D,Data Scientist,AI Engineer,Software Developer
B,B,B,C,D,D,A,A,A,A,C,D,AI Engineer,Software Developer,Data Scientist
D,C,C,B,D,B,D,C,B,C,B,B,Data Scientist,UI/UX Designer,Entrepreneur
A,C,C,D,B,C,C,B,A,A,D,C,Cybersecurity,Backend Developer,Cloud Engineer
D,A,A,A,B,C,C,C,B,D,B,A,Product Manager,Entrepreneur,UI/UX Designer
A,B,D,D,A,C,A,A,D,B,A,B,Cloud Engineer,Cybersecurity,Software Developer
D,B,D,D,B,B,D,B,D,A,A,A,UI/UX Designer,Product Manager,Entrepreneur
A,B,A,C,A,D,B,C,C,C,C,A,Cybersecurity,Cloud Engineer,Software Developer
A,B,A,C,C,B,C,C,C,D,A,A,Software Developer,Cybersecurity,Cloud Engineer
A,B,B,C,D,C,A,C,B,D,B,C,Cybersecurity,Software Developer,Cloud Engineer
C,B,D,C,C,B,C,D,A,B,D,A,Software Developer,Researcher,AI Engineer
B,D,B,B,D,A,C,B,C,C,B,B,Data Scientist,AI Engineer,UX Designer
B,D,C,B,D,B,A,B,C,A,A,B,Software Developer,UX Designer,AI Engineer
C,C,B,A,D,A,C,A,D,C,B,B,Researcher,Data Scientist,AI Engineer
A,C,D,B,D,B,C,B,D,D,B,A,Cloud Engineer,Cybersecurity,Data Scientist
B,B,C,D,A,A,A,C,D,A,C,B,Data Scientist,Software Developer,AI Engineer
A,B,C,D,A,A,C,B,D,A,A,B,Backend Developer,Software Developer,Cybersecurity
D,A,C,D,B,D,C,D,A,D,B,D,Entrepreneur,UI/UX Designer,Product Manager
B,A,A,C,A,B,D,C,A,D,B,B,AI Engineer,Software Developer,Data Scientist
B,B,B,A,C,A,C,C,D,C,A,D,AI Engineer,Software Developer,Data Scientist
C,A,D,A,D,B,B,C,A,C,D,A,Researcher,Data Scientist,AI Engineer
A,B,A,D,C,A,C,A,D,B,D,A,Backend Developer,Software Developer,Cloud Engineer
C,C,B,B,C,C,A,B,A,C,D,A,Researcher,Data Scientist,AI Engineer
C,A,D,A,C,A,B,C,A,B,A,D,Researcher,Data Scientist,AI Engineer
C,A,D,A,D,B,A,A,D,B,D,C,AI Engineer,Data Scientist,Researcher
C,A,D,A,C,A,B,B,D,A,C,D,Data Scientist,Researcher,AI Engineer
B,B,C,C,A,B,B,D,C,B,A,D,AI Engineer,Data Scientist,Software Developer
A,C,C,D,B,A,D,C,D,D,D,D,Cybersecurity,Backend Developer,Cloud Engineer
D,D,A,D,D,C,A,D,A,D,C,D,Product Manager,UI/UX Designer,UX Designer
C,D,D,D,D,A,D,C,C,A,D,B,Data Scientist,Researcher,AI Engineer
D,A,B,C,D,C,C,B,A,B,C,D,Entrepreneur,Product Manager,UI/UX Designer
C,A,D,C,D,B,B,C,B,A,B,C,Data Scientist,Researcher,AI Engineer
D,B,B,B,D,A,D,A,D,A,B,C,UI/UX Designer,Product Manager,Entrepreneur
B,B,D,C,A,C,B,A,B,C,A,C,Data Scientist,Software Developer,AI Engineer
B,A,B,A,D,B,D,C,C,C,A,A,Data Scientist,AI Engineer,Software Developer
D,B,D,B,B,C,B,C,D,B,C,D,Entrepreneur,UI/UX Designer,Software Developer
D,C,B,C,B,B,B,B,A,A,D,A,Data Scientist,Entrepreneur,UI/UX Designer
A,C,D,C,D,A,D,C,D,D,D,C,Cybersecurity,Data Scientist,Cloud Engineer
D,C,D,B,A,C,A,A,B,C,C,A,UI/UX Designer,Data Scientist,Entrepreneur
A,C,B,A,C,D,A,D,D,D,C,C,Cybersecurity,Data Scientist,Backend Developer
C,D,C,D,D,C,A,C,C,C,C,C,Researcher,UX Designer,AI Engineer
D,C,B,C,C,D,A,D,B,D,B,C,Product Manager,Entrepreneur,UI/UX Designer
B,B,A,D,A,B,A,A,B,A,B,C,Software Developer,Data Scientist,AI Engineer
D,A,A,C,A,C,B,A,D,A,A,D,Entrepreneur,Product Manager,UI/UX Designer
B,C,A,A,D,B,D,A,C,D,D,A,AI Engineer,Software Developer,Data Scientist
A,B,A,A,A,A,C,C,A,C,B,C,Backend Developer,Cloud Engineer,Software Developer
D,B,B,B,D,C,C,B,D,D,C,A,Software Developer,UI/UX Designer,Product Manager
B,C,A,B,D,A,D,C,D,B,B,D,AI Engineer,Data Scientist,Software Developer
C,A,C,B,C,B,C,B,D,D,B,C,AI Engineer,Researcher,Data Scientist
D,D,C,A,C,D,B,D,D,C,D,D,UI/UX Designer,Product Manager,UX Designer
A,D,B,D,A,D,C,C,B,B,A,B,Cloud Engineer,Backend Developer,UX Designer
B,A,D,B,A,C,D,A,A,C,A,B,Software Developer,AI Engineer,Data Scientist
D,D,C,C,D,C,B,B,A,D,C,C,UI/UX Designer,Product Manager,UX Designer
A,A,C,B,B,A,B,C,D,D,B,D,Cybersecurity,Cloud Engineer,Backend Developer
B,D,C,D,C,B,D,D,C,D,A,B,UX Designer,AI Engineer,Data Scientist
C,A,C,B,A,C,C,C,A,B,B,D,AI Engineer,Data Scientist,Researcher
D,D,D,B,D,C,D,D,C,A,B,C,Entrepreneur,Product Manager,UX Designer
A,D,C,B,A,D,D,B,D,C,A,A,Cybersecurity,UX Designer,Cloud Engineer
A,C,C,C,C,C,A,A,C,D,B,B,Data Scientist,Cybersecurity,Cloud Engineer
A,A,A,A,D,A,B,D,B,A,A,D,Cybersecurity,Backend Developer,Cloud Engineer
D,A,C,D,D,D,B,C,A,D,A,A,Entrepreneur,UI/UX Designer,Product Manager
D,C,D,D,C,C,B,B,C,C,B,C,Entrepreneur,Product Manager,UI/UX Designer
C,D,C,C,C,D,D,C,A,D,A,C,Data Scientist,AI Engineer,Researcher
C,A,B,A,A,A,A,B,C,C,A,A,Researcher,AI Engineer,Data Scientist
C,C,A,B,A,C,C,B,C,A,C,B,Researcher,AI Engineer,Data Scientist
B,D,C,B,A,D,A,B,D,B,A,B,Software Developer,Data Scientist,UX Designer
A,A,A,B,A,D,D,A,D,D,C,A,Backend Developer,Cloud Engineer,Cybersecurity
C,A,D,D,C,A,B,D,C,C,D,C,AI Engineer,Researcher,Data Scientist
A,D,B,A,C,A,D,A,B,B,B,D,Cybersecurity,UX Designer,Cloud Engineer
B,D,B,A,B,D,C,B,C,A,A,A,Data Scientist,Software Developer,AI Engineer
B,B,A,C,D,C,D,D,D,D,A,D,Data Scientist,Software Developer,AI Engineer
B,D,A,C,D,B,D,D,D,D,D,C,UX Designer,Data Scientist,AI Engineer
B,A,D,A,C,D,D,D,B,C,C,C,Data Scientist,AI Engineer,Software Developer
B,D,B,B,C,D,A,A,B,C,C,B,AI Engineer,UX Designer,Software Developer
B,D,A,B,A,B,A,A,C,B,A,D,Data Scientist,Software Developer,UX Designer
A,C,A,D,B,D,D,A,C,A,D,D,Cloud Engineer,Cybersecurity,Data Scientist
C,D,B,A,C,D,C,B,D,B,C,A,AI Engineer,Data Scientist,Researcher
D,C,B,A,A,D,D,D,B,B,A,A,Product Manager,Data Scientist,Entrepreneur
D,B,C,B,C,A,D,D,D,A,A,A,Entrepreneur,UI/UX Designer,Product Manager
A,C,B,B,A,B,A,D,D,D,C,C,Data Scientist,Cybersecurity,Backend Developer
C,D,B,A,C,B,B,D,A,B,A,A,UX Designer,AI Engineer,Researcher
A,A,D,C,D,A,D,B,D,A,B,D,Cloud Engineer,Backend Developer,Cybersecurity
D,B,B,D,A,D,C,D,C,A,C,B,Software Developer,UI/UX Designer,Entrepreneur
